frame,time,hi,hi,Total Solar,+x,-x,+y,-y,RF,Clk,Batt Discharge,Batt V,H-Batt V,Batt Charge,Batt Temp,Baseplate Temp,PA Temp,+x F,+z F,5a,5b,5c,5d,6a,6b,6c,6d
56,18:52:54,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,50
57,18:52:57,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
58,18:53:00,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
59,18:53:03,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
60,18:53:05,hi,hi,0.0,-10,30,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
61,18:53:11,hi,hi,0.0,-10,210,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
62,18:53:14,hi,hi,0.0,-10,190,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
63,18:53:16,hi,hi,0.0,-10,110,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
64,18:53:19,hi,hi,0.0,-10,10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
65,18:53:22,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
66,18:53:25,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
67,18:53:30,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
68,18:53:33,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
69,18:53:39,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
70,18:53:41,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
71,18:53:44,hi,hi,0.0,-10,-10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,49
72,18:53:47,hi,hi,0.0,-10,10,-10,-10,0.0008000000000008001,23.759999999999998,0,12.9,0.0,0.0,95.8,29.200000000000003,95.8,95.8,95.8,95.8,0.0,95.8,11.0,0,0.0,0.0,51
